time,open,high,low,close,volume,day
14:49:00,103.86,104.05,103.8,104.05,1252300,1
14:50:00,104.05,104.1,103.93,103.97,581110,1
14:51:00,103.96,104.0,103.84,103.92,222220,1
14:52:00,103.89,103.92,103.85,103.9,33590,1
14:53:00,103.9,103.92,103.85,103.9,45670,1
14:54:00,103.87,104.05,103.86,104.03,591020,1
14:55:00,104.0,104.2,104.0,104.16,1363620,1
14:56:00,104.16,104.26,104.1,104.16,1003930,1
14:57:00,104.16,104.29,104.16,104.2,404330,1
14:58:00,104.17,104.25,104.11,104.11,243270,1
14:59:00,104.16,104.18,104.06,104.11,180960,1
15:00:00,104.13,104.23,104.13,104.23,135900,1
15:01:00,104.21,104.3,104.19,104.3,728260,1
15:02:00,104.3,104.9,104.29,104.81,4396220,1
15:03:00,104.82,104.86,104.57,104.62,1508900,1
15:04:00,104.62,104.7,104.58,104.69,290930,1
15:05:00,104.69,104.72,104.59,104.61,692460,1
15:06:00,104.61,104.63,104.55,104.6,610640,1
15:07:00,104.57,104.6,104.55,104.59,90670,1
15:08:00,104.58,104.68,104.55,104.68,368010,1
15:09:00,104.67,104.73,104.67,104.7,562010,1
15:10:00,104.68,104.88,104.68,104.88,801940,1
15:11:00,104.88,104.89,104.68,104.7,476130,1
15:12:00,104.7,104.73,104.62,104.67,357980,1
15:13:00,104.67,104.68,104.6,104.63,275720,1
15:14:00,104.62,104.66,104.6,104.6,299840,1
15:15:00,104.62,104.68,104.58,104.66,264270,1
15:16:00,104.64,104.67,104.62,104.65,142480,1
15:17:00,104.63,104.8,104.62,104.7,584710,1
15:18:00,104.71,104.79,104.68,104.77,168210,1
15:19:00,104.76,104.79,104.7,104.74,167420,1
15:20:00,104.73,104.82,104.72,104.82,310260,1
15:21:00,104.81,104.82,104.68,104.72,211320,1
15:22:00,104.7,104.72,104.65,104.7,107330,1
15:23:00,104.7,104.7,104.65,104.7,91670,1
15:24:00,104.66,104.74,104.56,104.62,445370,1
15:25:00,104.58,104.64,104.57,104.64,45690,1
15:26:00,104.62,104.64,104.55,104.6,177840,1
15:27:00,104.6,104.65,104.55,104.56,219200,1
15:28:00,104.56,104.65,104.55,104.59,189050,1
15:29:00,104.56,104.6,104.55,104.58,88900,1
15:30:00,104.6,104.7,104.55,104.61,203600,1
15:31:00,104.58,104.65,104.55,104.63,503100,1
15:32:00,104.59,104.7,104.58,104.67,121250,1
15:33:00,104.67,104.69,104.62,104.67,51140,1
15:34:00,104.63,104.65,104.41,104.41,690180,1
15:35:00,104.42,104.49,104.41,104.45,328460,1
15:36:00,104.45,104.52,104.42,104.45,357100,1
15:37:00,104.42,104.47,104.4,104.4,109030,1
15:38:00,104.4,104.48,104.34,104.48,278760,1
15:39:00,104.46,104.6,104.45,104.52,244920,1
15:40:00,104.48,104.65,104.48,104.62,147870,1
15:41:00,104.62,104.8,104.62,104.7,447740,1
15:42:00,104.69,104.78,104.67,104.73,91840,1
15:43:00,104.73,104.77,104.65,104.69,56900,1
15:44:00,104.67,104.69,104.64,104.67,30030,1
15:45:00,104.65,104.73,104.59,104.65,185320,1
15:46:00,104.65,104.66,104.6,104.64,67920,1
15:47:00,104.6,104.68,104.55,104.64,181410,1
15:48:00,104.64,104.66,104.58,104.62,47310,1
15:49:00,104.59,104.64,104.52,104.57,67670,1
15:50:00,104.53,104.55,104.41,104.48,91560,1
15:51:00,104.44,104.49,104.43,104.48,47360,1
15:52:00,104.46,104.5,104.44,104.5,24430,1
15:53:00,104.49,104.65,104.46,104.64,320100,1
15:54:00,104.64,104.64,104.55,104.62,28630,1
15:55:00,104.62,104.62,104.59,104.62,2470,1
15:56:00,104.6,104.61,104.5,104.57,244290,1
15:57:00,104.54,104.54,104.4,104.47,122470,1
15:58:00,104.44,104.48,104.42,104.48,17390,1
15:59:00,104.48,104.57,104.46,104.55,69490,1
16:00:00,104.55,104.6,104.51,104.55,182900,1
16:01:00,104.51,104.57,104.38,104.43,399310,1
16:02:00,104.39,104.72,104.38,104.69,680180,1
16:03:00,104.67,104.68,104.57,104.62,82640,1
16:04:00,104.62,104.64,104.59,104.64,56840,1
16:05:00,104.62,104.64,104.52,104.57,123420,1
16:06:00,104.57,104.57,104.5,104.51,440920,1
16:07:00,104.5,104.6,104.5,104.58,76470,1
16:08:00,104.56,104.57,104.52,104.57,9620,1
16:09:00,104.55,104.58,104.55,104.58,15350,1
16:10:00,104.58,104.64,104.52,104.64,81820,1
16:11:00,104.61,104.69,104.61,104.68,86990,1
16:12:00,104.65,104.69,104.62,104.66,49710,1
16:13:00,104.66,104.68,104.56,104.68,67920,1
16:14:00,104.65,104.68,104.61,104.67,26700,1
16:15:00,104.67,104.77,104.66,104.7,457270,1
16:16:00,104.66,104.69,104.62,104.67,34640,1
16:17:00,104.67,104.68,104.64,104.67,7390,1
16:18:00,104.65,104.68,104.59,104.67,20660,1
16:19:00,104.67,104.72,104.61,104.66,92840,1
16:20:00,104.64,104.67,104.62,104.66,6650,1
16:21:00,104.66,104.67,104.62,104.66,24800,1
16:22:00,104.63,104.66,104.63,104.66,1130,1
16:23:00,104.64,104.67,104.53,104.63,90650,1
16:24:00,104.6,104.64,104.58,104.64,10340,1
16:25:00,104.64,104.67,104.61,104.66,68130,1
16:26:00,104.62,104.72,104.62,104.7,85310,1
16:27:00,104.65,104.71,104.61,104.66,11750,1
16:28:00,104.69,104.69,104.53,104.55,50280,1
16:29:00,104.53,104.65,104.53,104.61,310970,1
16:30:00,104.57,104.61,104.53,104.57,352550,1
16:31:00,104.57,104.57,104.53,104.54,65030,1
16:32:00,104.53,104.57,104.53,104.57,129640,1
16:33:00,104.53,104.57,104.53,104.55,99400,1
16:34:00,104.55,104.55,104.53,104.53,164830,1
16:35:00,104.53,104.54,104.5,104.54,347510,1
16:36:00,104.51,104.51,104.42,104.49,116750,1
16:37:00,104.48,104.49,104.4,104.43,116410,1
16:38:00,104.4,104.4,104.25,104.36,626620,1
16:39:00,104.33,104.35,104.21,104.22,243540,1
16:40:00,104.21,104.24,104.2,104.22,433000,1
16:41:00,104.22,104.36,104.21,104.3,178560,1
16:42:00,104.3,104.35,104.27,104.31,51470,1
16:43:00,104.31,104.37,104.31,104.33,104170,1
16:44:00,104.33,104.35,104.22,104.35,279370,1
16:45:00,104.32,104.37,104.27,104.37,83040,1
16:46:00,104.35,104.39,104.25,104.27,96110,1
16:47:00,104.27,104.27,103.95,104.04,1077430,1
16:48:00,104.0,104.11,103.94,104.0,381550,1
16:49:00,104.0,104.07,103.96,104.04,348820,1
16:50:00,104.02,104.05,104.0,104.02,577150,1
16:51:00,104.02,104.03,104.0,104.01,489580,1
